name,active,description
Appsolutt,1,"Foreningens formål er å skape og vedlikeholde et godt sosialt og faglig miljø for mobil apputvikling blant studenter ved Universitetet i Oslo. Foreningen skal også tilrettelegge for kontakt mellom studenter på forskjellige studieretninger, ferdighetsnivåer og årstrinn."
CYB,1,"Cybernetisk Selskab er en sosial, faglig og kulturell forening for alle studenter tilknyttet Ifi."
dagen@ifi,1,"Hvert år arrangeres dagen@ifi som er det største studentdrevne heldagsarrangementet ved UiO."
Defi,1,"Designforeningen ved IFI er linjeforeningen for design, bruk og interaksjon ved UiO"
Digitus,1,"Foreningen Digitus har som formål å skape et godt faglig og sosialt miljø for studentene ved studieprogrammet Informatikk: Digital Økonomi og Ledelse, ved å arrangere sosiale og faglige arrangementer. Digitus skal tilrettelegge for at alle studenter ved kan føle en tilknytting til sitt studieprogram som interesseområde."
DUKK,1,"DUKK er en forening tilknyttet Ifi for personer som er interresert i Discgolf. De arrangerer konkurranser, månedsgolf og treninger for sine medlemmer."
Fadderstyret,1,"Fadderstyret står for organiseringen og gjennomføringen av studiestartuka ved Ifi og sørger for at alle de nye studentene får en fin start på studietiden sin."
IT-SLP,0,"Programutvalget for IT: Språk, Logikk og Psykologi (IT-SLP) skal være her for deg; studenten. Vi skal sørge for at du får et godt miljø å studere i, vi skal arrangere sosiale aktiviteter og være din forbindelse til programmets ledelse og ansatte."
Homebrew,1,"Homebrew skal fremme kunnskap og interesse om brygging av øl og vin blant studenter ved Institutt for Informatikk."
FUI,1,"Fagutvalget ved Institutt for informatikk er informatikkstudentenes eget organ, og skal fungere som et bindeledd mellom studentene, instituttet og universitetet forøvrig."
Futurum,1,"Futurum samles med jevne mellomrom for å snakke om og diskutere aktuelle temaer rundt fremtidens teknologi."
FIFI,1,"Fotball ved Institutt for Informatikk er en sosial og sportslig forening ved instituttet."
IFI Makers,1,"IFI Makers holder til på Institutt for informatikk, for å samle såkalte makers."
IFI Rotor,1,"Multikopterforening for studenter."
IFI Sjakk,1,"IFI Sjakk skal ha jevnlige arrangementer med fokus på sjakk."
IFI Spillutvikling,1,"IFI Spillutvikling er en helt ny forening på Ifi. De jobber med å fremme spillutviklingsinteressen blant studentene ved Universitetet i Oslo, samt å være et bindeledd hvor studenter med interesse for spillutvikling kan utveksle kunnskap, jobbe med prosjekter sammen og, gjennom dette, danne et godt sosialt miljø"
IFI-Avis,1,"IFI-Avis er foreningen bak magasinet Output, som gis ut én gang i semesteret ved Institutt for Informatikk. Output ønsker å informere om det som skjer inne og rundt Ole Johan Dahls hus, underholde i lunsjen, og holde deg i loopen."
Jenteforeningen Verdande,0,"Verdande er jenteforeningen ved instituttet. Formålet er å knytte bånd mellom jenter på instituttet og andre kvinner og jenter som jobber med eller er interesserte i informatikk."
LI:ST​,1,"LIST er linjeforeningen for Informatikk: Språkteknologi ved Universitetet i Oslo. Foreningen jobber med å styrke faglig og sosialt miljø på linja."
Maps,0,"Maps arrangerer NM i programmering, programmeringskonkurranser og foredrag om temaer som er nærmere teoretisk informatikk."
Mikro,1,"Nanoelektronikk, Robotikk og Digital Signalbehandling (Mikro) er studentforeningen for studenter tilknyttet Nanoelektronikk, Robotikk og Digital Signalbehandling."
Navet,1,"Navet er bedriftskontakten ved instituttet, drevet av studentene. Hensikten med Navet er å gi studentene innblikk i IT-bransjen, samt tilrettelegge for nettverksbygging."
PI:SK,0,"Programutvalget for Informatikk: språk og kommunikasjon (PI:SK) jobber for et bra faglig og sosialt miljø rundt studieprogrammet Informatikk: språk og kommunikasjon."
PING,0,"Program-, Informasjons- og Nettverksteknologisk Gruppe (PING) er en studentforening ved Universitetet i Oslo. På disse sidene finner du litt generell informasjon om foreningen."
ProgNett,0,"ProgNett er linjeforeningen for studenter ved bachelor- og masterprogrammene Programmering og nettverk"
ProgSys,1,"ProgSys er en studentforening ved Institutt for informatikk. Foreningens formål er å fremme det sosiale og faglige miljø ved master- og bachelorprogrammene Programering og Systemarkitektur (samt Programmering og Nettverk). Foreningen skal holde faglig relevante arrangementer for programområdets studenter og sørge for at programrommet har en atmosfære som oppfordrer til sosial og faglig mingling."
ProsIT,0,"Linjeforeningen Profesjonsstudentene ved Institutt for Informatikk (ProsIT) er den sosiale foreningen for profesjonsstudentene ved Institutt for informatikk på Universitetet i Oslo. Vi jobber for at alle profesjonsstudentene skal ha en sosial og festlig studietid. Vi arrangerer jevnlig fester og turer, og tilbyr aktiviteter som bedriftsbesøk, idrett og leking med Lego Mindstorms. ProsIT har også ansvaret for fadderordningen for profesjonsstudentene, og vi vil gjøre vårt beste for at alle nye studenter skal få en fin start på semesteret."
Sonen,1,"Åpen sone for eksperimentell informatikk er et studentlaboratorium ved Institutt for informatikk, Universitetet i Oslo. Et prosjektbasert møtested for engasjerte og nysgjerrige studenter, en annerledes læringsomgivelse og et kreativt lekerom."
Svett,0,"Navnet Svett spiller på den populært utbredte stereotypen av informatikere. Mange ser på informatikere som svette «nerder». Vi velger å spille videre på dette med et glimt i øyet."
TekNat,0,"Tekniske og Naturvitenskapelige anvendelser (TekNat) er en studentforening for deg som liker realfag og matematikk, og som ønsker å bidra til et faglig og sosialt miljø for disse studentene."
Toastjærn,1,"Toastjærn er en forening som vil spre glede rundt toasting, og skape samhold og tilhørighet i studentmiljøet."
